date,actual,mean,naive,seasonal_naive_daily,seasonal_naive_weekly,drift,seasonal_mean_profile,sarimax_target_only,sarimax_calendar,sarimax,feature_model,feature_model_conditional,feature_model_one_step,foundation_model
2016-05-13 19:00:00,208.33333333333331,97.46163394267658,348.3333333333333,123.33333333333331,126.66666666666669,348.432667343944,126.47058823529412,217.41911628308094,219.8694513801064,220.9805055762818,176.7184600830078,147.8665771484375,197.2596893310547,147.57376098632812
2016-05-13 20:00:00,120.0,97.46163394267658,348.3333333333333,100.0,116.66666666666669,348.53200135455467,103.03921568627452,182.4459616891106,185.88268586455786,187.39417268661748,136.1607208251953,118.47453308105469,189.5613555908203,109.84117889404297
2016-05-13 21:00:00,63.333333333333336,97.46163394267658,348.3333333333333,71.66666666666667,71.66666666666667,348.63133536516534,87.25490196078431,131.87638919912868,136.27072617623787,140.57547246189426,91.4248275756836,92.63404846191406,132.10092163085938,77.57862854003906
2016-05-13 22:00:00,55.0,97.46163394267658,348.3333333333333,60.0,53.333333333333336,348.730669375776,66.5686274509804,105.09965624400385,110.3300513124436,115.58191049776131,86.23222351074219,65.3453140258789,64.66075134277344,62.91168212890625
2016-05-13 23:00:00,61.66666666666666,97.46163394267658,348.3333333333333,56.66666666666666,58.333333333333336,348.8300033863867,49.411764705882355,88.90722377907778,94.89799365590328,100.86188400011143,79.26050567626953,48.84653091430664,56.007389068603516,57.00767517089844
2016-05-14 00:00:00,58.333333333333336,97.46163394267658,348.3333333333333,55.0,51.66666666666666,348.92933739699737,48.627450980392155,79.17192772884346,76.72074896963852,80.34291484120726,63.646400451660156,106.73762512207031,61.52666473388672,55.3895149230957
2016-05-14 01:00:00,63.333333333333336,97.46163394267658,348.3333333333333,53.333333333333336,56.66666666666666,349.02867140760804,47.15686274509804,73.42638352582004,71.55169636922763,73.24114737698744,65.55245208740234,56.248924255371094,63.598297119140625,54.9869270324707
2016-05-14 02:00:00,60.0,97.46163394267658,348.3333333333333,58.333333333333336,53.333333333333336,349.1280054182187,46.27450980392157,68.36901268403584,66.98953603583604,67.65005437223994,68.9501953125,47.31248474121094,65.04444885253906,53.65080261230469
2016-05-14 03:00:00,60.0,97.46163394267658,348.3333333333333,58.333333333333336,55.0,349.2273394288294,46.96078431372548,63.917652042765354,62.95653649189131,63.947323042010694,63.69804763793945,53.197784423828125,63.96162796020508,53.60067367553711
2016-05-14 04:00:00,60.0,97.46163394267658,348.3333333333333,50.0,55.0,349.32667343944007,46.76470588235294,61.243193940213686,60.63109978956103,64.23366344039636,62.85265350341797,55.88885498046875,65.90290069580078,52.55177307128906
